x1;x2;x3;x4;x5;x6;x7;x8;x9;y
140;1,86;120;35,6;15,82;62;7;6,5;13,5;10,34
295;1,86;60;46;19,15;69;17,5;7;24,5;20,17
155;1,86;240;54,6;19,35;80;14,5;11,5;26;23,59
120;1,86;180;54;22,48;78;22;16,5;38,5;30,39
200;1,85;180;43;18,37;73;18,2;8,3;26,5;22,95
345;1,81;120;47,1;17,09;74;11,7;9,4;21,1;19,74
183;1,81;300;39,6;19,1;67;14,1;7,9;22;19,19
290;1,81;120;33,5;15,72;68,5;11,5;7,8;19,3;19,19
0;1,81;180;41,1;17,56;71,5;8,4;7,8;16,2;15,72
0;1,81;240;37,7;14,73;68;7,3;7,5;14,8;11,65
0;1,81;240;40,8;17,66;70;9,9;7,5;17,4;13,76
0;1,81;180;58,6;18,5;75;5,5;5,9;11,4;7,73
0;1,81;240;53,5;19,18;70,5;6,2;6,3;12,5;9,3
0;1,81;120;54,3;19,94;75;5,7;8;13,7;10,14
65;1,81;120;43,8;17,11;70;7,1;5,5;12,6;10,1
195;1,81;120;33;16,37;64;7;5,8;12,8;10,61
215;1,81;420;42,5;17,02;71,5;9,8;4,7;14,5;13,65
180;1,79;120;40,4;18,7;68;15,2;7,3;22,5;20,2
285;1,79;180;36,4;19,68;73;17,8;11,5;29,3;25,15
180;1,79;120;37,4;19,93;70;15,6;10,4;26;24,29
300;1,79;120;32,4;18,6;66;10;8,5;18,5;16,17
300;1,79;180;31,6;15,45;66;4,3;4,2;8,5;5,91
160;1,79;420;66,6;25,07;94,5;23,7;35,6;59,3;32,46
345;1,79;300;52,7;18,9;73;6,8;6,4;13,2;10,03
570;1,79;120;49,9;19,01;75;11,5;9,4;20,9;19,37
660;1,79;120;38,7;17,67;74,5;16,2;13,4;29,6;26,75
195;1,79;120;36,8;16,58;65;13,3;6,7;20;17,2
335;1,79;300;50;18,59;73;6,5;7,3;13,8;10,94
420;1,79;360;53,8;22,98;84;16,8;14,5;31,3;27,1
0;1,79;120;33,5;16,38;61;12,3;5,4;17,7;14,04
145;1,79;180;26,7;18,24;65,5;18,5;9,3;27,8;24,56
365;1,79;150;21,5;13,33;53;6,8;3,2;10;9,9
56;1,79;170;39,1;17,15;70;11,4;11,9;23,3;22,54
570;1,79;120;37,2;15,09;63,5;7,6;3,4;11;10,7
215;1,79;120;56,5;17,63;80;7,8;6,6;14,4;11,25
185;1,79;360;67,9;25,25;97;17;27,4;44,4;32,48
0;1,79;120;59,9;23,11;81;9,3;11,8;21,1;17,04
410;1,79;210;80,8;25,79;95;20,6;16,2;36,8;29,63
0;1,79;120;108,5;31,36;115;22,5;34,6;57,1;31,86
240;1,79;240;34,7;16,97;66,5;15,6;7,8;23,4;22,62
95;1,79;180;41,5;17,5;68;9,5;5,2;14,7;12,25
150;1,79;120;49,2;19,96;77;9,3;7,5;16,8;15,69
275;1,79;240;52;22,51;78;21,8;24,3;46,1;33,13
245;1,79;240;30;15,31;61,5;9,5;7;16,5;14,61
205;1,79;180;35;16,88;68,5;13;8;21;20,66
150;1,79;60;31;18,34;65;12,2;7,2;19,4;17,57
115;1,79;180;32,6;18,16;64;7,6;7,1;14,7;13,15
300;1,79;180;44,8;18,89;74;15,4;8,1;23,5;22,4
240;1,79;60;38;16,89;68;11,5;8;19,5;17,36
215;1,79;300;44;19,3;76;16,4;10,5;26,9;22,93
340;1,79;180;38;16,89;69;13,2;7,5;20,7;19,8
170;1,79;420;46;17,97;74;11;12,3;23,3;19,94
0;1,79;300;45,6;19,48;75,5;10,5;9,6;20,1;17,29
0;1,79;180;46;19,91;73;10,8;12,6;23,4;22,02
95;1,79;240;28;15,83;62;6,3;6;12,3;11,79
440;1,79;180;39,5;17,79;70;9,2;6,5;15,7;15,24
391;1,79;180;38,3;18,22;71;20,3;11,5;31,8;28,1
145;1,79;420;58,7;22,93;86;18,8;20;38,8;30,71
400;1,79;240;43,4;20,64;75;11,8;9,4;21,2;17,83
95;1,79;300;59;21,94;84;15;13,5;28,5;23,03
120;1,79;180;26;14,27;61;10,5;6;16,5;17,01
185;1,79;420;26,3;16,05;58;10,2;11;21,2;19,53
180;1,79;120;33,2;16,7;61,5;7,9;5,2;13,1;10,93
235;1,79;120;45,5;21,06;80;25,7;18,8;44,5;33,61
510;1,79;120;47,3;18,48;69;10,5;6,8;17,3;16,36
400;1,79;480;96;28,98;100;25,6;25,3;50,9;31,53
510;1,79;120;40;16,65;66;5,5;7,3;12,8;10,31
155;1,79;240;43,2;17,53;74;13,2;9,5;22,7;21,76
250;1,79;180;33;18,66;63;11,5;6,5;18;16,71
115;1,79;120;42;20,83;71;12,6;15,6;28,2;26,53
275;1,79;120;39,5;19,87;72,5;27,5;10;37,5;29,35
150;1,79;480;33,6;16,2;67;13,8;6;19,8;19,33
135;1,79;240;31,4;16,02;68;7,8;6,5;14,3;14,15
305;1,79;360;52,4;20,22;80;16,8;10,5;27,3;24,51
450;1,79;180;34;20,12;69;16,8;11,5;28,3;24,89
0;1,79;120;30,5;17,24;64;12,5;7,5;20;20,5
90;1,79;120;24;14,2;60,5;6,3;5,2;11,5;9,84
220;1,79;180;30,5;16,74;66;18;10;28;24,29
300;1,79;180;26,5;13,52;59;8;5,8;13,8;13,94
255;1,79;300;32;15,43;63;9;5,5;14,5;12,35
270;1,79;240;32,5;14,44;61;8,5;6,5;15;12,85
165;1,79;360;51;21,23;88;25,5;18;43,5;33,02
475;1,79;180;45,5;20,22;78;20,5;16;36,5;30,59
210;1,79;120;58;24,14;82;19,5;15;34,5;28,49
300;1,79;0;38;15,82;69;6;5,5;11,5;8,24
360;1,75;420;42,6;17,06;71,5;9,8;6,8;16,6;15,7
105;1,75;120;27,3;16,93;63,5;15,5;6,9;22,4;22,52
160;1,75;30;32,7;16,92;67;12,3;7,3;19,6;17,45
0;1,75;180;34,1;15,57;68;10,9;5,5;16,4;16,21
215;1,75;120;39,3;18,44;68;9,8;7,8;17,6;17,04
145;1,75;120;53,2;18,41;74;6,8;6,1;12,9;9,32
105;1,75;360;55,2;20,03;76;14,4;10;24,4;22,2
90;1,75;180;43,1;17,49;69;7,2;6,6;13,8;10,94
55;1,75;120;29;15,91;63;11,3;7,5;18,8;17,44
365;1,75;240;61,7;22,12;76,5;8,2;7,9;16,1;12,52
0;1,75;180;50;20,55;76;18,3;11,3;29,6;25,85
285;1,73;240;38;19,95;73;11,2;9,5;20,7;18,4
400;1,73;180;38,1;16,71;64;11,5;6,7;18,2;15,9
0;1,73;120;31;17,26;63;9;4,5;13,5;13,64
105;1,71;240;23,3;14,45;60;8,8;6,8;15,6;14,44
105;1,71;60;29,8;16,85;64;12,8;6,6;19,4;19,97
170;1,71;300;24,2;16,53;62;6,2;5,1;11,3;9,62
120;1,71;180;38,8;19,52;76;15,8;32,5;48,3;35,21
210;1,71;60;25,3;14,3;57,5;6,5;3,9;10,4;10,74
340;1,71;30;31,8;15,77;63;13,9;6;19,9;19,71
150;1,71;180;32,3;14,75;70;13,3;10,4;23,7;22,85
575;1,71;60;33,9;17,55;64,5;12,2;5,9;18,1;15,5
145;1,71;60;38;18,58;69;13,8;9;22,8;19,54
445;1,71;360;42,7;18,48;69;11,4;8,3;19,7;16,94
210;1,71;30;52,6;18,42;72;9,2;7,3;16,5;13,31
370;1,71;300;48,4;19,64;73;11,5;6,9;18,4;15,08
330;1,71;30;47,2;18,91;75;12,4;9,8;22,2;20,46
275;1,71;300;49,9;18,78;71,5;13,8;7;20,8;19,29
220;1,71;180;32,3;15,8;63,5;10;6,5;16,5;16,31
220;1,71;300;37,3;16,8;69;10,3;8,5;18,8;18,14
720;1,71;180;44,3;17,75;74;16,8;9,4;26,2;22,13
185;1,71;240;43,9;17,59;69,5;9,3;5,8;15,1;12,65
180;1,71;120;44,1;18,36;72,5;13,5;10,4;23,9;22,01
360;1,71;120;42,5;17,02;68;8,4;7;15,4;14,14
340;1,71;240;33;17,84;64;10,4;6,5;16,9;15,69
290;1,71;360;28,4;15,82;61,5;12,3;9,2;21,5;21,48
625;1,71;180;35,2;17,71;66;12,8;7,9;20,7;17,8
180;1,71;240;50,7;18,4;81,5;18,8;11,7;30,5;25,01
95;1,71;150;70,3;24,61;83;18,8;13,2;32;27,31
480;1,71;300;48,6;17,43;77,5;14,2;7,8;22;20,09
290;1,71;60;49,9;17,89;67;6,5;6,4;12,9;9,32
0;1,71;180;30,4;16,44;62,5;14;6,5;20,5;20,63
320;1,71;180;46,5;22,74;82;23,2;23,6;46,8;32,8
280;1,71;0;47,2;19,65;69;11,5;10,8;22,3;20,74
95;1,71;0;51;21,79;78;18,8;14,5;33,3;28,05
320;1,71;240;57;21,72;88;12,4;21,8;34,2;26,43
215;1,71;180;44,5;15,58;74,5;10,1;8,3;18,4;17,18
0;1,71;360;42,3;21,58;80;19,9;11,8;31,7;28,74
0;1,71;300;35,5;17,12;68;13,2;5,9;19,1;17,31
0;1,71;180;37,6;19,46;75;17,7;18,2;35,9;31
300;1,71;240;33;17,84;65,5;7,5;7,7;15,2;13,65
110;1,71;240;30;15,75;61;7,8;3,8;11,6;9,95
155;1,71;180;25;14,57;61;11,5;9,4;20,9;20,97
180;1,71;180;34;16,63;64;10,7;6,4;17,1;16,88
110;1,71;420;33;15,07;61,5;13,5;5;18,5;16,17
220;1,71;60;41;16,85;70;11,8;13,5;25,3;24,07
0;1,71;240;24,6;15,01;56;6,8;5,4;12,2;10,58
0;1,71;300;25;15,26;56;9,6;7,5;17,1;15,48
0;1,71;360;28;16,32;59;11,3;10;21,3;19,21
120;1,71;240;46,5;18,63;72;9;7,8;16,8;14,29
245;1,71;300;45,5;17,77;71;13,8;8,3;22,1;20,37
245;1,71;180;36,6;16,27;70,5;12,4;6,5;18,9;17,83
420;1,71;240;56;21,08;76;14,3;8,5;22,8;19,14
60;1,71;240;54;23,37;86;24,5;15;39,5;32,2
35;1,71;60;32;15,01;61;9,5;5;14,5;15,05
110;1,71;180;51;22,07;80;20,5;10;30,5;25,31
115;1,71;240;39,8;18,42;70;13,5;9,5;23;22
260;1,71;240;33,8;15,02;64;10,3;5;15,3;15,15
480;1,71;300;39,8;20,31;78;19,4;14,5;33,9;29,57
425;1,71;120;49,9;20,24;83,5;23,5;25,2;48,7;32,58
465;1,71;300;51;20,96;79;11;10;21;20,36
270;1,71;300;31;14,74;63;6,3;4,5;10,8;10,48
450;1,71;300;45,6;17,81;70;16;8,5;24,5;22,47
390;1,71;180;53;19,95;74,5;11,2;7,6;18,8;15,74
240;1,71;240;57,7;18,21;73,5;5,6;5,5;11,1;7,41
375;1,71;120;63;22,06;84,5;17;18,6;35,6;27,85
0;1,71;180;45;18,03;67;9,5;5,5;15;12,55
420;1,71;240;23,8;15,99;56;7,4;4,2;11,6;9,95
240;1,71;120;33;18,66;63;14,6;7,5;22,1;21,97
195;1,71;300;50,5;19,73;64,5;10,8;38,7;49,5;34,02
320;1,71;30;36;21,3;69;25;13;38;30,27
0;1,71;180;22,5;14,87;56,5;9,7;5,3;15;13,45
255;1,71;120;22,5;14,4;60;10,5;5,8;16,3;16,82
80;1,71;240;26,7;14,65;62;8;5,5;13,5;11,04
125;1,71;180;36;16,44;70,5;10;8,5;18,5;17,87
390;1,71;180;27,7;16,91;59;6;5,5;11,5;9,24
240;1,71;300;57;22,27;85,5;17,5;18;35,5;29,8
270;1,71;120;44,5;17,38;70;8;6,5;14,5;12,05
210;1,71;180;77;25,14;95,5;25;26,5;51,5;32
385;1,71;300;43,5;18,11;73,5;13,5;12,8;26,3;23,8
140;1,69;60;20,4;14,41;51;7,8;4,3;12,1;10,88
90;1,69;180;26,7;16,04;59;11,1;5,3;16,4;15,21
0;1,69;120;53,8;18,19;71;8,1;6,5;14,6;11,75
0;1,69;60;59,1;20,94;76;5,9;8,4;14,3;10,75
0;1,69;240;38,7;17,67;72,5;12,2;6,5;18,7;18,35
0;1,69;360;55;20,7;80;15,5;10,8;26,3;23,6
225;1,69;360;55,3;19,83;80;13,6;14,2;27,8;24,66
205;1,69;180;41,3;18,6;70;11;8,5;19,5;18,76
310;1,69;180;62;26,84;90;22;32;54;33,21
220;1,69;30;34;17,1;65;10,8;6,6;17,4;15,46
150;1,69;120;23,7;15,17;56,7;10,9;5,9;16,8;17,29
0;1,69;60;27,8;16,45;51;7,5;5,6;13,1;11,93
225;1,69;60;50,2;19,37;71;7,6;5,9;13,5;9,94
425;1,69;240;49;19,14;71;5,3;5,2;10,5;7,45
210;1,69;120;48,8;19,8;76;19,9;15,3;35,2;28,85
170;1,67;240;43,2;22,04;80;19,8;18;37,8;28,48
230;1,64;120;27,6;15,6;60;12,8;5,5;18,3;16,99
150;1,64;180;27,7;15,9;61;7,4;4,6;12;10,37
60;1,64;120;26,1;16,97;56,5;8,2;6,6;14,8;13,25
330;1,64;120;26,4;14,07;56;7;4,3;11,3;9,32
75;1,64;300;49;23,96;82;20,3;23,5;43,8;33,11
120;1,64;180;29,7;15,82;65;9,3;5,2;14,5;12,05
435;1,64;120;39,6;15,86;70;10,9;5,1;16;13,53
65;1,64;300;53,9;17,6;75;10,4;7,8;18,2;15,2
240;1,64;300;54,1;19,87;73,5;12,9;7,3;20,2;18,77
125;1,64;120;30;15,75;62;11,3;7,5;18,8;18,44
370;1,64;120;26,7;15,8;62;14,4;8,8;23,2;22,16
285;1,64;120;35,3;16,56;67;8,9;6,4;15,3;15,15
235;1,64;360;55,1;22,64;82;17,9;15,8;33,7;28,87
560;1,64;240;40;15,43;67;7,3;6,5;13,8;12,94
320;1,64;180;40,1;16,69;67;9,2;5,4;14,6;11,75
420;1,64;60;25,3;15,2;56;6,2;4,2;10,4;8,64
69;1,64;120;48;23,15;82;29,3;24,6;53,9;33,5
190;1,64;120;28,3;14,44;58;8,9;5,6;14,5;14,65
145;1,64;120;47,8;19,39;80;19,3;15,9;35,2;29,95
160;1,64;60;34,9;17,55;65;6,3;4,5;10,8;8,48
480;1,64;180;29,3;16,08;60,5;7,6;5,3;12,9;10,42
480;1,64;240;39;18,81;75,5;15,2;12,4;27,6;23,12
90;1,64;300;37,2;17,69;70,5;13,4;7,5;20,9;19,97
325;1,64;30;60,9;22,1;76;8,2;8;16,2;13,02
160;1,64;360;91,7;30,29;112;27,6;40,5;68,1;30,58
82;1,64;60;49,6;19,38;76;16,8;10,5;27,3;24,31
225;1,64;300;59,6;20,62;79;14,4;13;27,4;21,88
340;1,64;120;46,7;19,19;75,5;14,6;10,4;25;20,85
300;1,64;240;28,5;16,36;64;10,8;4,6;15,4;14,24
300;1,64;60;42;18,67;71;10;9,5;19,5;16,36
50;1,64;120;40,9;19,72;76;17,9;10,4;28,3;26,59
80;1,64;240;28,2;16,95;57,5;12,4;6,3;18,7;17,35
0;1,64;420;23;14,04;57;6,9;4,1;11;9,3
100;1,64;180;51;25,65;86;22,5;22,9;45,4;32,46
0;1,64;240;22;14,54;53,5;7,5;3,4;10,9;9,19
160;1,64;180;25;16;56,5;7,3;5,5;12,8;11,61
170;1,64;120;33,4;18,33;73;21,3;22,4;43,7;34,08
220;1,64;180;40,9;18,18;72;10,4;6,9;17,3;15,06
355;1,64;180;38;17,35;70,5;12,3;8,2;20,5;17,93
190;1,64;240;37;16,01;65,5;11,2;7,5;18,7;16,35
270;1,64;120;44;21,52;85;17,8;15,3;33,1;29,54
0;1,64;120;28,5;15,41;63;5,5;5;10,5;10,85
104;1,64;120;41;20,33;75,5;22;15,8;37,8;29,18
0;1,64;60;23,7;13,6;61;5,3;8,5;13,8;12,64
160;1,64;120;31,5;16,3;65;10,5;6,5;17;17,48
0;1,64;360;23;13,82;53;9;5,6;14,6;13,05
0;1,64;240;27,8;15,96;57,5;13;8,5;21,5;21,48
0;1,64;180;41,5;17,73;72;14,3;9,5;23,8;22,33
240;1,64;240;55;20,45;76;12;9,5;21,5;18,48
115;1,64;180;32,5;15,89;66;8,5;4,8;13,3;11,13
0;1,64;240;21;12,24;56;4;9,5;13,5;13,64
270;1,64;60;28;16,07;64,5;13,2;8,5;21,7;21,94
255;1,64;300;47;22,05;85,5;29,3;33,4;62,7;32,77
285;1,64;120;28,6;15,93;64,5;16,2;8,8;25;23,55
460;1,64;300;45;20,54;75;15,8;6,5;22,3;21,44
600;1,64;120;45;19,48;73,5;17;8;25;23,55
240;1,64;420;66,5;24,72;86;39,6;19,8;59,4;32,85
320;1,64;180;49;18;75;9,2;9;18,2;17,2
400;1,64;120;27,4;15,49;58;12,4;4,9;17,3;17,76
150;1,64;180;49,1;25,41;86;21,9;21,3;43,2;31,83
170;1,64;180;38,9;18,76;72;23,8;10,5;34,3;28,09
230;1,64;240;30,4;16,44;65,5;14,7;9,5;24,2;23,24
140;1,64;180;42;17,26;71;10,5;9;19,5;18,76
190;1,64;240;37,5;16,89;73;15,5;9;24,5;20,87
180;1,64;240;41,5;16,21;68;12;8;20;18,8
235;1,64;180;36;16;66,5;10;5;15;14,85
330;1,64;120;95,2;29,71;108;23,5;37;60,5;32,35
0;1,64;120;29,5;15,05;62;11,5;7,3;18,8;19,44
210;1,64;180;31,5;17,03;63;13,2;6;19,2;17,1
0;1,64;180;33,5;15,93;65;9;7;16;13,83
130;1,64;240;30;15,75;66;17,5;13;30,5;25,61
225;1,64;480;31;15,82;63;6,5;5,5;12;11,47
310;1,64;300;31;14,35;63;5;5,8;10,8;8,48
330;1,64;120;37,5;15,61;72;10;9,5;19,5;16,76
0;1,64;180;26,5;13,52;61;12;6,5;18,5;18,17
0;1,64;420;40,2;17,87;70;17,5;12,5;30;26,7
300;1,64;240;43,5;18,11;72,5;9;9,5;18,5;17,87
390;1,64;240;53;17,92;76;7,5;8;15,5;12,34
95;1,64;180;55;20,7;75;10,5;15,2;25,7;21,37
370;1,64;120;43,5;19,33;67;7;6,5;13,5;10,64
430;1,63;180;35,5;15,78;69;9,9;5,3;15,2;12,35
265;1,63;60;22,6;15,44;57,5;8,1;4,9;13;11,82
103;1,63;60;34,6;17,65;64;11,3;7;18,3;16,29
0;1,63;60;53,5;22,85;72;15;10,2;25,2;21,7
0;1,63;240;35,8;17,51;66;8,6;4,8;13,4;10,94
70;1,63;60;43,1;19,95;74;16,5;9,8;26,3;23,8
170;1,63;180;44,6;17,64;72;7,2;4,6;11,8;8,86
0;1,63;300;57,7;20,44;74;8,1;7,9;16;13,13
200;1,63;60;37,6;15,85;68;6,1;3,5;9,6;6,45
140;1,63;120;49;18,44;72;11,5;6,3;17,8;14,83
150;1,63;120;24,4;13,19;56;7,8;4,6;12,4;12,19
445;1,6;180;27;16,74;58;8,3;4,3;12,6;11
80;1,57;180;26,3;15,8;62;8,6;5,1;13,7;14,54
210;1,57;240;25,2;15,14;57,5;7,8;6,3;14,1;12,55
40;1,57;60;40,8;20,52;80;24,6;19,3;43,9;33,74
70;1,57;120;36,5;17,6;71,5;12,4;6,9;19,3;17,19
255;1,57;120;41;19,77;71;17,5;8,9;26,4;22,88
150;1,57;300;39,4;18,23;73;15,4;10,8;26,2;22,73
140;1,57;180;34,1;16,22;65;13,5;8,9;22,4;21,52
40;1,57;420;31,5;15,62;68;10,6;7,9;18,5;17,87
270;1,57;300;35,2;17,46;65,5;9,8;6,9;16,7;13,8
135;1,57;240;47;17,91;75;7,6;8,3;15,9;12,33
215;1,57;240;31,2;15,26;61,5;9,6;6,4;16;15,83
440;1,57;360;43,4;16,95;69;12;9,2;21,2;19,83
210;1,57;60;33;17,58;63,5;13,8;6,9;20,7;18,7
285;1,57;120;35,2;17,71;69,5;10,9;6,2;17,1;15,18
270;1,57;360;34;16,4;62;6,5;4,8;11,3;9,32
205;1,57;240;29,8;14,57;61,5;6,9;4,5;11,4;9,13
77;1,57;60;66,9;26,13;91;33,7;34,6;68,3;33,53
140;1,57;240;61,3;24,25;87,5;16,4;19,3;35,7;27,5
230;1,57;300;42,8;19,02;68;7,5;7,8;15,3;14,45
180;1,57;180;76,2;24,6;87,6;12,5;13,4;25,9;21,22
345;1,57;30;55;22,03;79;21,4;17,3;38,7;30,67
585;1,57;240;44,2;15,85;69;5,8;5,2;11;7,7
480;1,57;240;65,6;23,52;88;20,3;23,3;43,6;32,25
195;1,57;180;41;15,43;70;6,5;5,2;11,7;8,75
275;1,57;120;53,6;21,47;83;17,6;13,8;31,4;25,16
240;1,57;30;38;17,12;71;12,4;6,3;18,7;18,65
0;1,57;240;31;16,28;61;6,7;5;11,7;9,75
90;1,57;60;43,6;15,82;71,5;7,8;4,9;12,7;12,21
210;1,57;180;51;19,68;77;15,2;14,3;29,5;25,98
300;1,57;60;55,2;23,58;80;14,5;23,2;37,7;28,44
295;1,57;180;59,5;22,39;86;18,8;16,4;35,2;29,05
75;1,57;180;31,3;17,96;67;15,1;7,5;22,6;22,68
80;1,57;120;21,6;13,39;52,5;6,6;4,6;11,2;9,91
100;1,57;180;24,9;16,46;59;8,4;5,9;14,3;15,5
120;1,57;300;32,1;16,61;66,5;11,7;5,5;17,2;15,57
70;1,57;180;29;14,59;63,5;13,2;7,5;20,7;20,4
90;1,57;300;32;16,8;61;7,8;5;12,8;10,91
180;1,57;180;29;15,45;63;9,5;7;16,5;16,61
145;1,57;180;40,7;23,01;81,5;26,8;17,2;44;34,47
150;1,57;60;31;16,76;61,5;9,2;4,3;13,5;11,94
285;1,57;180;42;18,67;71;16,5;10;26,5;24,95
120;1,57;180;25;16;62,5;6;11,2;17,2;17,97
135;1,57;300;28,5;15,41;64;8;4,7;12,7;13,51
210;1,57;180;35;15,35;65,5;8;4,5;12,5;10,6
0;1,57;30;29;15,45;62;12,2;7;19,2;18,8
370;1,57;180;43;18,61;76,5;18,2;10;28,2;25,83
150;1,57;300;66;23,11;75;13;10,2;23,2;19,46
0;1,57;240;46;18,66;67;12;8,7;20,7;19,8
215;1,57;420;99,3;35,61;114;27,8;44,2;72;31,39
0;1,57;60;32;15,22;64;6;9,5;15,5;13,34
360;1,57;180;32;16,33;63;8,2;5,5;13,7;14,24
90;1,57;360;25,8;16;59;12,3;5,3;17,6;18,04
275;1,57;0;25,8;15,27;59;12,4;4,8;17,2;17,67
220;1,57;180;27,5;15,78;62;17,9;9,5;27,4;25,58
260;1,57;240;46;16,69;76;15,2;6,5;21,7;20,94
280;1,57;480;31,7;15,08;63;9;4,5;13,5;11,34
465;1,57;180;50;20,81;80;19,3;13,2;32,5;28,2
240;1,57;360;57,6;27,02;88;31;21,5;52,5;32,8
375;1,57;60;57,6;24,29;83;32,4;17,3;49,7;32,05
300;1,57;360;49,9;17,89;75;10,4;5,7;16,1;13,22
430;1,57;300;52,6;20,55;83;25,1;18,2;43,3;32,56
190;1,57;300;39,4;17,28;67;7,3;6,3;13,6;12,74
180;1,57;420;43,5;16,37;68;15,2;8,9;24,1;22,57
115;1,57;480;40,5;17,76;63;7,4;5;12,4;9,49
360;1,57;120;48,8;24,55;87;31,4;23,9;55,3;33,86
430;1,57;240;85;31,22;102;49,6;55,7;105,3;6,4
440;1,57;300;44,5;22,07;79;25,6;22,3;47,9;34,43
330;1,57;300;67,7;26,45;81;33;13,5;46,5;31,13
270;1,57;360;49,5;18,86;76;13,5;8;21,5;18,08
240;1,57;180;57,5;19,21;79,5;9;7,8;16,8;13,89
390;1,57;30;38;19,67;73;18;13;31;28,62
330;1,57;120;27;14,81;61;8,3;7;15,3;16,15
0;1,57;60;34,5;16,87;66;10;6;16;16,13
155;1,57;120;25;14,79;62;10,5;8,5;19;19,32
0;1,57;180;28;15,36;62;10;12,5;22,5;19,9
210;1,57;420;44,5;20,88;73;10;11,2;21,2;20,53
0;1,57;360;62,2;27,64;93,5;40;52;92;20,23
0;1,57;260;54,5;20,77;82;16,5;9;25,5;20,92
200;1,57;240;38;16,45;70;8,5;5,7;14,2;11,75
0;1,57;240;49;18,44;77,5;16,5;23,5;40;31,4
0;1,57;120;47;20,89;81,5;20,5;16,5;37;30,12
480;1,57;180;50;19,53;75;15;10;25;22,85
215;1,57;180;45,7;17,85;67;9;6,5;15,5;13,04
260;1,57;60;38;16,89;68;13;6,5;19,5;16,76
210;1,57;180;58;22,66;84;18,5;29,5;48;33,55
225;1,57;120;49,5;19,34;73;10;6,5;16,5;12,91
0;1,57;180;43;16,8;71;8;5,5;13,5;10,34
110;1,57;420;55;22,89;82;18;12;30;25,9
210;1,57;180;59;24,24;88;28,5;18;46,5;33,03
0;1,56;120;32,9;20,08;71,5;11,8;11,3;23,1;23,08
0;1,56;60;36,2;17,46;69,5;17,5;7,1;24,6;23,55
0;1,56;180;63,8;25,88;87;17,4;18,9;36,3;29,79
0;1,56;60;62,2;24,6;96;19,5;33,4;52,9;34,03
50;1,56;180;72,6;20,76;77,8;6,8;8,4;15,2;11,65
220;1,56;180;39,1;16,92;66;4,4;3,9;8,3;6,78
0;1,56;360;41,4;17,92;70;10,6;10,2;20,8;19,49
110;1,56;60;43,2;19,2;74;13,8;7,5;21,3;18,31
0;1,56;120;27,3;15,43;65;9;5,8;14,8;15,65
0;1,56;120;23,5;14,8;54;9,8;6,6;16,4;15,21
0;1,56;180;33;17,33;65;10,9;7,9;18,8;17,44
55;1,56;60;26;15,62;64;11;4,9;15,9;14,73
25;1,56;240;23;14,49;55;9,8;5,6;15,4;16,24
150;1,56;180;42;16,41;73;6;5,9;11,9;8,67
590;1,53;240;37,9;15,18;65;10,3;5,8;16,1;15,92
155;1,53;120;44;16,56;73;10,8;11,5;22,3;20,74
185;1,53;150;37,9;14,62;63;7;6,4;13,4;13,24
660;1,53;120;30,9;16,71;62,5;8,9;5,5;14,4;12,85
210;1,53;180;26,1;15,44;60;10,5;6,6;17,1;17,58
0;1,5;120;22,5;14,4;59;10,6;5,2;15,8;16,63
240;1,5;120;33;18,11;68;18,4;10,4;28,8;24,83
145;1,5;120;45,3;22,15;80;22,4;19,6;42;33,13
165;1,5;120;55,2;25,2;87;28,4;28,2;56,6;35,57
360;1,5;300;40,2;18,6;73;16,1;9,5;25,6;22,3
0;1,5;240;32,8;17,22;65;12,3;7,4;19,7;16,94
270;1,5;420;39,8;16,78;71;11,8;7,5;19,3;18,19
300;1,5;180;42,7;18,24;71;9,8;6,4;16,2;12,62
240;1,5;120;39,9;18,46;70,5;17,5;10,5;28;23,99
160;1,5;180;27,9;15,31;63;10,2;6,5;16,7;16,5
205;1,5;180;45,5;16,51;72;16,7;10,5;27,2;24,84
130;1,5;240;41,4;18,65;70;12,5;7,9;20,4;17,55
210;1,5;180;53,9;22,15;82;16,3;16,4;32,7;27,91
360;1,5;240;55,3;21,33;84;18,2;10,3;28,5;23,33
120;1,5;120;32,6;18,16;63;9,3;5,3;14,6;12,75
320;1,5;180;38,7;19,19;73;19,3;17,9;37,2;29,21
300;1,5;300;27,6;15,84;57;7;4,8;11,8;9,86
250;1,5;120;45,3;18,86;69,5;9,5;5,5;15;12,55
155;1,5;120;32,6;15,94;61,5;9,2;5,3;14,5;12,05
80;1,5;240;39,9;15,02;67;8,6;6,1;14,7;14,25
490;1,5;180;38,4;15,78;65;7,3;4,2;11,5;8,94
335;1,5;300;40;17,54;69;8,5;6,2;14,7;13,65
0;1,5;180;23,8;15,99;59;6,8;4,5;11,3;10,02
0;1,5;60;25,8;15,5;60;8,1;4,5;12,6;11,4
60;1,5;120;26,8;15,38;60;7,3;4;11,3;9,32
305;1,5;120;32,9;16,79;66;11,8;5,9;17,7;17,44
70;1,5;180;34;15,31;66;10;6,6;16,6;13,4
0;1,5;180;51,4;19,59;76,5;18,5;16,5;35;28,75
100;1,5;240;57,7;19,28;81,5;5,4;5,9;11,3;8,02
195;1,5;180;50;22,83;81;27,8;16,5;44,3;33,86
0;1,5;60;27,5;14,44;58;8,8;4,5;13,3;13,43
0;1,5;30;23,6;15,1;57;7,8;5,7;13,5;12,34
280;1,5;120;50;21,36;80;19,8;13,9;33,7;28,27
